,,acc,acc,train_time,train_time,test_time,test_time
,,mean,std,mean,std,mean,std
neurons,weight_train,,,,,,
250, False,0.88445,0.0071590269357411,6.934454345703125,0.15274864449781284,0.2934157609939575,0.002148571261656227
250, True,0.8732,0.00979013108526474,33.20052986145019,0.40743910842325015,0.29746894836425775,0.02460027677940276
500, False,0.9206,0.008100205758703504,12.11825065612793,0.027202312850593397,0.30715458393096917,0.004884324520390312
500, True,0.9072699999999999,0.004787495285753411,38.2647207736969,0.2528841754289112,0.3007125377655029,0.006673625102408585
1000, False,0.94288,0.0035673831056142902,22.8124281167984,0.14471898121832502,0.32810657024383544,0.003176573203277536
1000, True,0.93008,0.005049048315166837,49.08446168899536,0.23434635485099609,0.3226667165756225,0.008402762015932605
2000, False,0.9580500000000001,0.0019449364456911578,44.97293887138367,0.06860000182316056,0.37270758152008054,0.00745215406413927
2000, True,0.9461700000000001,0.003011478042423693,71.2938401222229,0.3583647038862542,0.36178014278411863,0.0017515484461759357
4000, False,0.96627,0.0020880879078982928,91.39137072563172,0.3497745485265426,0.45537738800048827,0.006026047076874758
4000, True,0.95611,0.0028368409660512735,117.57949147224426,0.4447829257879364,0.4656752824783325,0.017298673225005043
