,,acc,acc,train_time,train_time,test_time,test_time
,,mean,std,mean,std,mean,std
parameters,weight_train,,,,,,
h_size:600;subnets:10;, False,0.9795299999999999,0.0019669773765857122,57.60717239379883,0.39508091010557106,1.1030511140823365,0.009771649942637404
h_size:600;subnets:10;, True,0.61703,0.2999573860474925,84.8690893650055,1.153651547640579,1.0975870370864869,0.010583283552018043
h_size:600;subnets:1;, False,0.95784,0.0032366649502226785,6.071594929695129,0.0992525224316333,0.3576626300811767,0.012746830706862692
h_size:600;subnets:1;, True,0.9629,0.001799382610168765,33.16655323505402,0.49992606798584915,0.3576874971389771,0.03547563866899766
h_size:600;subnets:2;, False,0.9670099999999999,0.0031599753866833223,11.204174828529357,0.7016157386135399,0.4525441646575928,0.04539380077993889
h_size:600;subnets:2;, True,0.92311,0.1028808420779431,38.42030417919159,0.3979737524614478,0.4260027647018433,0.007026009259487454
h_size:600;subnets:3;, False,0.9712099999999999,0.0022173307275991858,15.882220482826233,0.32027203643547314,0.4968102931976318,0.013304353348537317
h_size:600;subnets:3;, True,0.9682000000000001,0.004871914978276565,43.13711702823639,0.5571798008089823,0.49381816387176514,0.009723992678583362
h_size:600;subnets:4;, False,0.9738899999999999,0.0021829897948557734,20.966054725646973,0.16848225215610793,0.5703630924224854,0.007458880504401264
h_size:600;subnets:4;, True,0.8163600000000001,0.2725996421290551,48.341615653038026,1.036484924980021,0.5592207193374634,0.004864541546793474
h_size:600;subnets:6;, False,0.97611,0.0013378672912097284,33.82681941986084,0.45273169154428333,0.7878834009170532,0.008396336340783683
h_size:600;subnets:6;, True,0.63546,0.43047157397440305,61.69816460609436,1.3125527791272646,0.8076264381408691,0.06861268824977118
h_size:600;subnets:8;, False,0.9785600000000001,0.0020966640169564777,46.33968250751495,0.9843758870581627,0.9463508367538452,0.010775007959846846
h_size:600;subnets:8;, True,0.66485,0.28556117558239597,73.16148452758789,1.663284515461407,0.9445653200149536,0.027336783710986638
