name,dataset,epochs,seed,acc,train_time,test_time
lenet5,1,1,22,0.8669,29.268973350524902,0
lenet5,1,1,432,0.8704,28.79979157447815,0
lenet5,1,1,63,0.8584,28.79977321624756,0
lenet5,1,1,754,0.8484,28.474751710891724,0
lenet5,1,1,3456,0.8594,28.92058777809143,0
lenet5,1,1,5,0.8162,28.758213996887207,0
lenet5,1,1,6677,0.8569,29.50890350341797,0
lenet5,1,1,876,0.8637,28.225661277770996,0
lenet5,1,1,213,0.8529,27.981279850006104,0
lenet5,1,1,5444,0.8531,28.70883274078369,0
lenet5,1,2,22,0.8661,57.09008169174194,0
lenet5,1,2,432,0.8735,57.77316331863403,0
lenet5,1,2,63,0.8695,57.81931519508362,0
lenet5,1,2,754,0.8711,56.96090841293335,0
lenet5,1,2,3456,0.8724,56.721648931503296,0
lenet5,1,2,5,0.8367,58.944316387176514,0
lenet5,1,2,6677,0.8836,55.950019121170044,0
lenet5,1,2,876,0.8673,57.304619550704956,0
lenet5,1,2,213,0.8683,56.86080765724182,0
lenet5,1,2,5444,0.8571,58.618858098983765,0
lenet5,1,3,22,0.8731,85.04207348823547,0
lenet5,1,3,432,0.8825,87.36410713195801,0
lenet5,1,3,63,0.887,85.98508620262146,0
lenet5,1,3,754,0.8715,85.66190242767334,0
lenet5,1,3,3456,0.8688,87.30970644950867,0
lenet5,1,3,5,0.8513,87.76088690757751,0
lenet5,1,3,6677,0.8784,85.71297144889832,0
lenet5,1,3,876,0.8774,88.53791284561157,0
lenet5,1,3,213,0.8742,87.73642015457153,0
lenet5,1,3,5444,0.8607,87.98361325263977,0
